comparison,metric,test statistic,p-value,effect size
nTnL,w/l,1.1818708701341865,0.40808560942503097,1.0805951276637462
nTnL,stretch,0.9634082193841602,0.4790093170791748,0.8814606213588507
nTnL,strain,0.9634082193841661,0.4790093170791726,0.881460621358856
aTaL,w/l,3.5757596489181,0.016314584831771294,2.5284438956432167
aTaL,stretch,3.3013819846988226,0.027024200127664898,2.3344295886676405
aTaL,strain,3.30138198469882,0.027024200127664964,2.3344295886676383
aTnT,w/l,1.1517927553581824,0.3672408652908759,1.0015955898638427
aTnT,stretch,1.1519278672117719,0.35471649553334245,0.9809653446892269
aTnT,strain,1.1519278672117663,0.3547164955333444,0.9809653446892223
nLaL,w/l,0.37747540115420486,0.7175159709864771,0.2526582124285503
nLaL,stretch,0.6710319459906979,0.5239293684410511,0.4462894307377436
nLaL,strain,0.6710319459906947,0.5239293684410531,0.44628943073774135
