Cut Frame,Location,Nodes1,Nodes2,lambda_p,wOverlHalf,l,w
0,v(0.50a),"[32, 236]","[129, 182]",1,1.06E-06,0.280952498,5.96E-07
1,v(0.50a),"[32, 236]","[129, 182]",1.000159979,6.21E-05,0.280918011,3.49E-05
2,v(0.50a),"[32, 236]","[129, 182]",1.000319958,0.000287835,0.280899124,0.000161705
3,v(0.50a),"[32, 236]","[129, 182]",1.000560045,0.000884724,0.280874718,0.000496993
4,v(0.50a),"[32, 236]","[129, 182]",1.000920057,0.001853861,0.280844496,0.001041293
5,v(0.50a),"[32, 236]","[129, 182]",1.001459956,0.003337652,0.280799921,0.001874425
6,v(0.50a),"[32, 236]","[129, 182]",1.002269983,0.005561838,0.280734266,0.003122797
7,v(0.50a),"[32, 236]","[129, 182]",1.003484964,0.008867015,0.280639791,0.004976874
8,v(0.50a),"[32, 236]","[129, 182]",1.005307555,0.013801634,0.280501804,0.007742767
9,v(0.50a),"[32, 236]","[129, 182]",1.008041263,0.021122812,0.280302528,0.011841555
10,v(0.50a),"[32, 236]","[129, 182]",1.012141824,0.031916505,0.280027877,0.017875022
11,v(0.50a),"[32, 236]",[129],1.018292785,0.056194346,0.279664732,0.031431154
12,v(0.50a),"[32, 236]","[129, 182]",1.027519226,0.070474524,0.279197618,0.039352638
13,v(0.50a),"[32, 236]","[129, 182]",1.041358829,0.102751877,0.27865322,0.057264283
14,v(0.50a),"[32, 236]","[129, 182]",1.057358861,0.137444129,0.278250899,0.076487905
15,v(0.50a),"[31, 236]","[129, 182]",1.073358774,0.175008373,0.278031302,0.097315611
16,v(0.50a),"[31, 236]","[129, 182]",1.089358807,0.203932258,0.278018014,0.113393683
17,v(0.50a),"[31, 236]","[129, 182]",1.105358839,0.230989423,0.278164225,0.128505988
18,v(0.50a),"[31, 236]","[129, 182]",1.121358871,0.256282825,0.278423926,0.14271054
19,v(0.50a),"[31, 236]","[129, 130, 182]",1.137358785,0.276317916,0.278765343,0.154055717
20,v(0.50a),"[31, 236]","[129, 130, 182]",1.153358817,0.298817755,0.279146669,0.166827962
21,v(0.50a),"[31, 236]","[129, 130, 182]",1.159999967,0.307737309,0.279314494,0.171910982
