Cut Frame,Location,Nodes1,Nodes2,lambda_p,wOverlHalf,l,w
0,v(0.50a),"[122, 1147]","[595, 837]",1,0,0.650373055,0
1,v(0.50a),"[122, 1147]","[595, 837]",1.000159979,0.000524038,0.650311491,0.000681576
2,v(0.50a),"[122, 1147]","[595, 837]",1.000319958,0.001053736,0.650257412,0.0013704
3,v(0.50a),"[122, 1147]","[595, 837]",1.000560045,0.001841868,0.650178385,0.002395085
4,v(0.50a),"[122, 1147]","[595, 837]",1.000920057,0.003013414,0.650062884,0.003917817
5,v(0.50a),"[122, 1147]","[595, 837]",1.001459956,0.004762214,0.649890853,0.006189838
6,v(0.50a),"[122, 1147]","[595, 837]",1.002269983,0.007371813,0.649635758,0.009577986
7,v(0.50a),"[122, 1147]","[595, 837]",1.003484964,0.011260571,0.649260487,0.014622087
8,v(0.50a),"[122, 1147]","[595, 837]",1.005307555,0.017043426,0.648716326,0.022112698
9,v(0.50a),"[122, 1147]","[595, 837]",1.008041263,0.025605833,0.647942378,0.033182208
10,v(0.50a),"[122, 1147]","[595, 837]",1.012141824,0.038207463,0.646867428,0.049430326
11,v(0.50a),"[122, 1147]","[595, 837]",1.018292785,0.056579193,0.645449359,0.073038007
12,v(0.50a),"[122, 1147]","[595, 837]",1.027519226,0.082993915,0.643722882,0.106850165
13,v(0.50a),"[122, 1147]","[595, 837]",1.041358829,0.120207219,0.641943416,0.154332466
14,v(0.50a),"[122, 1147]","[595, 837]",1.057358861,0.15996024,0.640885759,0.20503248
15,v(0.50a),"[122, 1147]","[595, 837]",1.073358774,0.196569002,0.6406611,0.251868226
16,v(0.50a),"[122, 1146, 1147]","[595, 837]",1.089358807,0.229450819,0.641060725,0.294183817
17,v(0.50a),"[121, 122, 1146]","[595, 837]",1.105358839,0.263533861,0.641904611,0.338327201
18,v(0.50a),"[121, 1146]","[595, 837, 838]",1.121358871,0.291750453,0.643042007,0.375215593
19,v(0.50a),"[121, 1146]","[595, 838]",1.137358785,0.317359259,0.644356502,0.408985004
20,v(0.50a),"[121, 1146]","[595, 596, 838]",1.153358817,0.341390201,0.645782276,0.440927481
21,v(0.50a),"[121, 1146]","[596, 838]",1.159999967,0.351669341,0.646390556,0.454631481
