Cut Frame,Location,Nodes1,Nodes2,lambda_p,wOverlHalf,l,w
0,v(0.50a),"[55, 524]","[92, 379]",1,0,0.653227626,0
1,v(0.50a),"[55, 524]","[92, 379]",1.000040054,7.42E-05,0.653203333,9.69E-05
2,v(0.50a),"[55, 524]","[92, 379]",1.000079989,0.000196752,0.65318797,0.000257033
3,v(0.50a),"[55, 524]","[92, 379]",1.000139952,0.000382096,0.653168906,0.000499147
4,v(0.50a),"[55, 524]","[92, 379]",1.000229955,0.000656412,0.653143043,0.000857462
5,v(0.50a),"[55, 524]","[92, 379]",1.000365019,0.001064424,0.653105776,0.001390363
6,v(0.50a),"[55, 524]","[92, 379]",1.000567555,0.001675159,0.653050374,0.002187926
7,v(0.50a),"[55, 524]","[92, 379]",1.000871301,0.002586216,0.652968466,0.003377434
8,v(0.50a),"[55, 524]","[92, 379]",1.001326919,0.003944895,0.652846307,0.005150821
9,v(0.50a),"[55, 524]","[92, 379]",1.002010345,0.005974288,0.652670416,0.007798482
10,v(0.50a),"[55, 524]","[92, 379]",1.003035426,0.00900143,0.652417036,0.011745372
11,v(0.50a),"[55, 524]","[92, 379]",1.004573226,0.013511838,0.652044185,0.017620631
12,v(0.50a),"[55, 524]","[92, 379]",1.006879807,0.020206997,0.651509736,0.026330111
13,v(0.50a),"[55, 524]","[92, 379]",1.010339737,0.030100292,0.650755362,0.039175853
14,v(0.50a),"[55, 524]","[92, 379]",1.015529513,0.044602722,0.64974221,0.057960543
15,v(0.50a),"[55, 524]","[92, 379]",1.023314357,0.065625155,0.648459239,0.085110476
16,v(0.50a),"[55, 524]","[92, 379]",1.034991503,0.095589725,0.647031086,0.123699047
17,v(0.50a),"[55, 524]","[92, 93, 379]",1.050991535,0.133546765,0.645905435,0.172517163
18,v(0.50a),"[55, 524]","[92, 93, 379, 380]",1.066991568,0.16975947,0.645552338,0.219177245
19,v(0.50a),"[55, 524]","[93, 379, 380]",1.082991481,0.20338972,0.645797169,0.26269701
20,v(0.50a),"[55, 524]","[93, 380]",1.098991513,0.23388779,0.646493133,0.302413701
21,v(0.50a),"[54, 524]","[93, 380]",1.114991546,0.259746927,0.647522518,0.336383969
22,v(0.50a),"[54, 523, 524]","[93, 380]",1.130991459,0.284933393,0.648786451,0.36972185
23,v(0.50a),"[54, 523]","[93, 380]",1.146991491,0.309299324,0.650197139,0.402211071
24,v(0.50a),"[54, 523]","[93, 380]",1.159999967,0.327733008,0.651417887,0.426982288
