Cut Frame,Location,Nodes1,Nodes2,lambda_p,wbar,l,w
0,w(l(half)),"[122, 123, 1147]","[577, 836]",1,0.003134099,1.445173597,0.009058635
1,w(l(half)),"[122, 123, 1147]","[577, 836]",1.000159979,0.003234471,1.445053944,0.009347971
2,w(l(half)),"[122, 123, 1147]","[577, 836]",1.000319958,0.003402566,1.444947626,0.00983306
3,w(l(half)),"[122, 123, 1147]","[577, 836]",1.000560045,0.003750263,1.444789091,0.010836679
4,w(l(half)),"[122, 123, 1147]","[577, 836]",1.000920057,0.004429578,1.444552441,0.012797516
5,w(l(half)),"[122, 123, 1147]","[577, 836]",1.001459956,0.005661188,1.444201033,0.016351788
6,w(l(half)),"[122, 123, 1147]","[577, 836]",1.002269983,0.007735088,1.443681945,0.022334015
7,w(l(half)),"[122, 123, 1147]","[577, 836]",1.003484964,0.01103553,1.44292206,0.03184682
8,w(l(half)),"[122, 123, 1147]","[577, 836]",1.005307555,0.016107779,1.441822765,0.046449126
9,w(l(half)),"[122, 123, 1147]","[577, 836]",1.008041263,0.023743256,1.440261167,0.06839298
10,w(l(half)),"[122, 123, 1147]","[577, 836]",1.012141824,0.035078565,1.438102252,0.100893128
11,w(l(half)),"[122, 123, 1147]","[577, 836]",1.018292785,0.051696792,1.435263458,0.148397032
12,w(l(half)),"[122, 1147]","[577, 836]",1.027519226,0.075518321,1.431853478,0.21626234
13,w(l(half)),"[122, 1147]","[577, 836]",1.041358829,0.109426552,1.428474846,0.312626154
14,w(l(half)),"[122, 1147]","[577, 836]",1.057358861,0.145886432,1.426628746,0.416251554
15,w(l(half)),"[122, 1146, 1147]","[577, 836]",1.073358774,0.179339293,1.426381214,0.511612396
16,w(l(half)),"[121, 122, 1146]","[577, 837]",1.089358807,0.211389875,1.427259876,0.603416573
17,w(l(half)),"[121, 1146]","[578, 837]",1.105358839,0.239679786,1.42890314,0.684958397
18,w(l(half)),"[121, 1146]","[578, 837]",1.121358871,0.266654472,1.431005394,0.763167975
19,w(l(half)),"[121, 1146]","[578, 837]",1.12535882,0.27310843,1.431561884,0.781943236
20,w(l(half)),"[121, 1145, 1146]","[578, 837]",1.131358862,0.282093803,1.432442666,0.808166397
21,w(l(half)),"[120, 121, 1145, 1146]","[578, 837]",1.140358806,0.296394774,1.433832652,0.84996101
22,w(l(half)),"[120, 121, 1145]","[578, 837]",1.143733859,0.302029567,1.434361212,0.866438991
23,w(l(half)),"[120, 1145]","[578, 837]",1.14879632,0.309036677,1.435169749,0.887040181
24,w(l(half)),"[120, 1145]","[578, 837]",1.14879632,0.309036677,1.435169749,0.887040181
