Cut Frame,Location,Nodes1,Nodes2,lambda_p,wbar,l,w
0,w(l(half)),"[80, 870]","[134, 630]",1,0.009873767,1.090961887,0.021543806
1,w(l(half)),"[80, 870]","[134, 630]",1.000159979,0.009885423,1.090861717,0.021567259
2,w(l(half)),"[80, 870]","[134, 630]",1.000319958,0.009923264,1.090774855,0.021648093
3,w(l(half)),"[80, 870]","[134, 630]",1.000560045,0.010024817,1.090645627,0.021867045
4,w(l(half)),"[80, 870]","[134, 630]",1.000920057,0.010274687,1.090455559,0.022408179
5,w(l(half)),"[80, 870]","[134, 630]",1.001459956,0.010848309,1.09017309,0.02365307
6,w(l(half)),"[80, 870]","[134, 630]",1.002269983,0.012078623,1.089753444,0.026325443
7,w(l(half)),"[80, 870]","[134, 630]",1.003484964,0.01450941,1.089137571,0.031605487
8,w(l(half)),"[80, 870]","[134, 630]",1.005307555,0.018884033,1.088246819,0.041100979
9,w(l(half)),"[80, 870]","[134, 630]",1.008041263,0.026131858,1.086979773,0.056809603
10,w(l(half)),"[80, 870]","[134, 630]",1.012141824,0.037443081,1.08523546,0.08126912
11,w(l(half)),"[80, 870]","[134, 630]",1.018292785,0.054417661,1.082941937,0.117862333
12,w(l(half)),"[80, 870]","[134, 630]",1.027519226,0.079177163,1.080176724,0.171050657
13,w(l(half)),"[80, 870]","[134, 630]",1.041358829,0.114337236,1.077367344,0.24636641
14,w(l(half)),"[79, 80, 870]","[134, 630]",1.057358861,0.152166293,1.075720062,0.327376669
15,w(l(half)),"[79, 870]","[134, 135, 630]",1.073358774,0.186224064,1.075381043,0.400523657
16,w(l(half)),"[79, 869, 870]","[135, 630, 631]",1.089358807,0.219026509,1.075979655,0.471336136
17,w(l(half)),"[79, 869]","[135, 631]",1.105358839,0.248699172,1.077226886,0.535810868
18,w(l(half)),"[79, 869]","[135, 631]",1.121358871,0.276451039,1.078892884,0.596522117
19,w(l(half)),"[79, 869]","[135, 631]",1.12535882,0.283087184,1.079343536,0.611096644
20,w(l(half)),"[79, 869]","[135, 631]",1.131358862,0.292817433,1.080057801,0.632519504
21,w(l(half)),"[79, 869]","[135, 136, 631]",1.140358806,0.306506813,1.081192735,0.662785878
22,w(l(half)),"[79, 869]","[135, 136, 631]",1.143733859,0.311654715,1.081628962,0.674189533
23,w(l(half)),"[79, 869]","[135, 136, 631]",1.144999504,0.313565708,1.081793792,0.678426872
24,w(l(half)),"[79, 869]","[135, 136, 631]",1.146897912,0.316412727,1.082043726,0.684744813
25,w(l(half)),"[79, 869]","[135, 136, 631]",1.14760983,0.317474343,1.082137797,0.687101973
26,w(l(half)),"[79, 869]","[135, 136, 631]",1.148677707,0.31906001,1.082279821,0.690624422
27,w(l(half)),"[79, 869]","[135, 136, 631]",1.150279522,0.321426026,1.082492694,0.69588265
28,w(l(half)),"[79, 869]","[135, 136, 631]",1.150429606,0.321647521,1.082513041,0.696375272
29,w(l(half)),"[79, 869]","[135, 136, 631]",1.150654912,0.321978754,1.082543146,0.697111786
30,w(l(half)),"[79, 869]","[135, 136, 631, 632]",1.150992751,0.322986214,1.082588117,0.699322074
31,w(l(half)),"[79, 869]","[135, 136, 631, 632]",1.151499629,0.323728839,1.082655997,0.700973939
32,w(l(half)),"[79, 869]","[135, 136, 631, 632]",1.152259827,0.324839603,1.082758444,0.703445647
33,w(l(half)),"[79, 869]","[135, 136, 631, 632]",1.152544975,0.325255162,1.082796323,0.704370187
34,w(l(half)),"[79, 869]","[135, 136, 631, 632]",1.152972579,0.325877714,1.082854072,0.705756018
35,w(l(half)),"[79, 869]","[135, 136, 631, 632]",1.153614044,0.32680906,1.082940664,0.70782964
36,w(l(half)),"[79, 869]","[135, 136, 631, 632]",1.154576182,0.32820151,1.083070718,0.710930889
37,w(l(half)),"[79, 869]","[135, 136, 631, 632]",1.154576182,0.32820151,1.083070718,0.710930889
