Cut Frame,Location,Nodes1,Nodes2,lambda_p,wbar,l,w
0,v(0.50a),"[131, 132, 1240]","[622, 898]",1,0.003233709,1.40222961,0.009068806
1,v(0.50a),"[131, 132, 1240]","[622, 898]",1.000159979,0.00334461,1.402109963,0.009379022
2,v(0.50a),"[131, 132, 1240]","[622, 898]",1.000319958,0.00351791,1.402000695,0.009864225
3,v(0.50a),"[131, 132, 1240]","[622, 898]",1.000560045,0.003875231,1.401837254,0.010864887
4,v(0.50a),"[131, 132, 1240]","[622, 898]",1.000920057,0.004571611,1.401594049,0.012815085
5,v(0.50a),"[131, 132, 1240]","[622, 898]",1.001459956,0.005831751,1.401233562,0.016343291
6,v(0.50a),"[131, 132, 1240]","[622, 898]",1.002269983,0.007953574,1.400699945,0.022281143
7,v(0.50a),"[131, 132, 1240]","[622, 898]",1.003484964,0.011331191,1.399916545,0.031725444
8,v(0.50a),"[131, 132, 1240]","[622, 898]",1.005307555,0.016521443,1.398778695,0.046219685
9,v(0.50a),"[131, 132, 1240]","[622, 898]",1.008041263,0.024331856,1.397157753,0.067990882
10,v(0.50a),"[131, 132, 1240]","[622, 898]",1.012141824,0.035921211,1.39490912,0.100213651
11,v(0.50a),"[131, 132, 1240]","[622, 898]",1.018292785,0.052900212,1.391944574,0.147268326
12,v(0.50a),"[131, 1240]","[622, 898]",1.027519226,0.077215958,1.388343989,0.214404621
13,v(0.50a),"[131, 1240]","[622, 898]",1.041358829,0.11179415,1.384615194,0.309583757
14,v(0.50a),"[131, 1240]","[622, 898]",1.057358861,0.148939467,1.382360309,0.411776016
15,v(0.50a),"[131, 1240]","[622, 898]",1.073358774,0.183294125,1.381738693,0.506529171
16,v(0.50a),"[130, 131, 1239, 1240]","[622, 899]",1.089358807,0.21501445,1.382256469,0.594410229
17,v(0.50a),"[130, 1239]","[622, 623, 899]",1.105358839,0.244252354,1.383552482,0.675871901
18,v(0.50a),"[130, 1239]","[623, 899]",1.121358871,0.271851149,1.385383052,0.753235949
19,v(0.50a),"[130, 1238, 1239]","[623, 899]",1.137358785,0.296840128,1.387597225,0.823789076
20,v(0.50a),"[129, 130, 1238, 1239]","[623, 899]",1.141358852,0.303545913,1.388175824,0.842750196
21,v(0.50a),"[129, 130, 1238, 1239]","[623, 899]",1.147358775,0.312489383,1.389080905,0.868146069
22,v(0.50a),"[129, 1238]","[623, 899]",1.156358838,0.325704742,1.390494003,0.90578098
23,v(0.50a),"[129, 1238]","[623, 899]",1.159999967,0.330808046,1.39107166,0.920355395
