Cut Frame,Location,Nodes1,Nodes2,lambda_p,wbar,l,w
0,v(0.50a),"[24, 188, 189]","[37, 139]",1,0.023790022,0.216110541,0.010282549
1,v(0.50a),"[24, 188, 189]","[37, 139]",1.000159979,0.023818474,0.21606718,0.010292781
2,v(0.50a),"[24, 188, 189]","[37, 139]",1.000319958,0.023750258,0.216047762,0.01026238
3,v(0.50a),"[24, 188, 189]","[37, 139]",1.000560045,0.023665229,0.216024117,0.01022452
4,v(0.50a),"[24, 188, 189]","[37, 139]",1.000920057,0.023568746,0.215997229,0.010181568
5,v(0.50a),"[24, 188, 189]","[37, 139]",1.001459956,0.023535491,0.215959536,0.010165427
6,v(0.50a),"[24, 188, 189]","[37, 139]",1.002269983,0.023707608,0.215908726,0.010237359
7,v(0.50a),"[24, 188, 189]","[37, 139]",1.003484964,0.024375934,0.215838539,0.010522532
8,v(0.50a),"[24, 188, 189]","[37, 139]",1.005307555,0.02617315,0.21573396,0.011292875
9,v(0.50a),"[24, 188, 189]","[37, 139]",1.008041263,0.030208513,0.215581944,0.01302482
10,v(0.50a),"[24, 188, 189]","[37, 139]",1.012141824,0.038067096,0.215370826,0.016397084
11,v(0.50a),"[24, 188, 189]","[37, 139]",1.018292785,0.05165298,0.215092761,0.022220364
12,v(0.50a),"[24, 188, 189]","[37, 139]",1.027519226,0.073043146,0.214750469,0.0313721
13,v(0.50a),"[24, 188]","[37, 139]",1.041358829,0.117140084,0.214382599,0.050225591
14,v(0.50a),"[24, 188]","[37, 139]",1.057358861,0.148903351,0.214151559,0.063775769
15,v(0.50a),"[24, 188]","[37, 139]",1.073358774,0.179344559,0.214099126,0.076795027
16,v(0.50a),"[24, 188]","[37, 139]",1.089358807,0.208057363,0.214195593,0.08912994
17,v(0.50a),"[24, 188]","[37, 139]",1.105358839,0.234989682,0.214405388,0.100766108
18,v(0.50a),"[24, 188]","[37, 38, 139]",1.121358871,0.253030894,0.214687131,0.108644954
19,v(0.50a),"[24, 188]","[37, 38, 139]",1.137358785,0.276923916,0.215042326,0.119100726
20,v(0.50a),"[24, 188]","[37, 38, 139]",1.153358817,0.299232641,0.215447321,0.128937742
21,v(0.50a),"[24, 188]","[37, 38, 139]",1.159999967,0.308059977,0.215624936,0.132850826
