Cut Frame,Location,Nodes1,Nodes2,lambda_p,wOverlHalf,l,w
0,v(0.50a),"[55, 563]","[90, 407]",1,0,0.648331627,0
1,v(0.50a),"[55, 563]","[90, 407]",1.000159979,0.000469425,0.648272423,0.00060863
2,v(0.50a),"[55, 563]","[90, 407]",1.000319958,0.000972436,0.648220274,0.001260705
3,v(0.50a),"[55, 563]","[90, 407]",1.000560045,0.001716932,0.648144368,0.002225639
4,v(0.50a),"[55, 563]","[90, 407]",1.000920057,0.002825573,0.648035214,0.003662142
5,v(0.50a),"[55, 563]","[90, 407]",1.001459956,0.004477995,0.647873438,0.005802348
6,v(0.50a),"[55, 563]","[90, 407]",1.002269983,0.006942613,0.647633177,0.008992533
7,v(0.50a),"[55, 563]","[90, 407]",1.003484964,0.010617297,0.647281081,0.013744751
8,v(0.50a),"[55, 563]","[90, 407]",1.005307555,0.01608231,0.646769975,0.020803111
9,v(0.50a),"[55, 563]","[90, 407]",1.008041263,0.024173728,0.646043398,0.031234555
10,v(0.50a),"[55, 563]","[90, 407]",1.012141824,0.036087125,0.645033734,0.046554826
11,v(0.50a),"[55, 563]","[90, 407]",1.018292785,0.053463295,0.643690897,0.068827673
12,v(0.50a),"[55, 563]","[90, 407]",1.027519226,0.078469399,0.642053964,0.100763177
13,v(0.50a),"[55, 563]","[90, 91, 407]",1.041358829,0.113405799,0.640349359,0.145238661
14,v(0.50a),"[55, 563]","[90, 91, 407]",1.057358861,0.151033228,0.639280824,0.193105293
15,v(0.50a),"[55, 563]","[91, 407, 408]",1.073358774,0.188454729,0.63895238,0.240827195
16,v(0.50a),"[54, 55, 563]","[91, 407, 408]",1.089358807,0.220087784,0.639195991,0.281358458
17,v(0.50a),"[54, 563]","[91, 408]",1.105358839,0.24845114,0.639855206,0.31794551
18,v(0.50a),"[54, 562, 563]","[91, 408]",1.121358871,0.275223676,0.640823201,0.352739434
19,v(0.50a),"[54, 562]","[91, 408]",1.137358785,0.30135054,0.642004043,0.38693653
20,v(0.50a),"[54, 562]","[91, 408]",1.153358817,0.325354817,0.643315313,0.418611472
21,v(0.50a),"[54, 562]","[91, 408]",1.159999967,0.334845436,0.643880944,0.431201191
