Cut Frame,Location,Nodes1,Nodes2,lambda_p,wOverlHalf,l,w
0,v(0.50a),"[83, 873]","[129, 654]",1,0.000932067,2.07512243,0.003868306
1,v(0.50a),"[83, 873]","[129, 654]",1.000159979,0.001022239,2.074975442,0.004242242
2,v(0.50a),"[83, 84, 873]","[129, 654]",1.000319958,0.003752966,2.074847583,0.015573665
3,v(0.50a),"[83, 84, 873]","[129, 654]",1.000560045,0.003986506,2.074658433,0.016541277
4,v(0.50a),"[83, 84, 873]","[129, 654]",1.000920057,0.004489541,2.074382834,0.018626055
5,v(0.50a),"[83, 84, 873]","[129, 654]",1.001459956,0.005480518,2.073974744,0.022732912
6,v(0.50a),"[83, 84, 873]","[129, 654]",1.002269983,0.007255277,2.073372001,0.030085775
7,v(0.50a),"[84, 873]","[129, 654]",1.003484964,0.011634079,2.072487304,0.048222963
8,v(0.50a),"[84, 873]","[129, 654]",1.005307555,0.015758677,2.071203842,0.065278864
9,v(0.50a),"[84, 873]","[129, 654]",1.008041263,0.022397286,2.069373663,0.092696707
10,v(0.50a),"[84, 873]","[129, 654]",1.012141824,0.032596656,2.06684508,0.134744476
11,v(0.50a),"[84, 873]","[129, 654]",1.018292785,0.047812025,2.063515029,0.197321666
12,v(0.50a),"[84, 873]","[129, 654]",1.027519226,0.070013068,2.059501508,0.288384037
13,v(0.50a),"[84, 873]","[129, 654, 655]",1.041358829,0.102173549,2.055458582,0.420026997
14,v(0.50a),"[83, 873]","[129, 130, 655]",1.057358861,0.135689304,2.053231322,0.557203057
15,v(0.50a),"[83, 873]","[130, 655]",1.073358774,0.167888949,2.052924395,0.689326639
16,v(0.50a),"[83, 872]","[130, 655, 656]",1.089358807,0.197501914,2.053936202,0.811312664
17,v(0.50a),"[83, 872]","[130, 655, 656]",1.093358874,0.204591899,2.054309876,0.840590318
18,v(0.50a),"[83, 872]","[130, 131, 656]",1.099358797,0.214662582,2.054975089,0.882252517
19,v(0.50a),"[83, 872]","[131, 656]",1.10835886,0.230149149,2.056148669,0.946441734
20,v(0.50a),"[83, 872]","[131, 656]",1.111733794,0.235661436,2.056620892,0.969332466
21,v(0.50a),"[83, 872]","[131, 656]",1.116796374,0.24378362,2.057374528,1.003108421
22,v(0.50a),"[83, 872]","[131, 656]",1.118694782,0.24678623,2.057664397,1.015606479
23,v(0.50a),"[83, 872]","[131, 656]",1.1194067,0.247906042,2.057774609,1.020269517
24,v(0.50a),"[83, 872]","[131, 656]",1.120474577,0.249580019,2.057941159,1.027241987
25,v(0.50a),"[83, 872]","[131, 656]",1.122076392,0.252076463,2.058195414,1.03764524
26,v(0.50a),"[83, 872]","[131, 656]",1.124479055,0.2557908,2.058584103,1.053133749
27,v(0.50a),"[83, 872]","[131, 656, 657]",1.12808311,0.261683295,2.059182967,1.077707569
28,v(0.50a),"[83, 872]","[131, 656, 657]",1.129434705,0.263724368,2.059409912,1.086233157
29,v(0.50a),"[83, 872]","[131, 656, 657]",1.129941463,0.264487159,2.059495824,1.089420399
30,v(0.50a),"[83, 872]","[131, 656, 657]",1.130131483,0.264772648,2.059527925,1.090613324
31,v(0.50a),"[83, 872]","[131, 656, 657]",1.130416632,0.265200737,2.059576339,1.092402324
32,v(0.50a),"[83, 872]","[131, 656, 657]",1.130844235,0.265841522,2.059649294,1.095080605
33,v(0.50a),"[83, 872]","[131, 656, 657]",1.131485701,0.266800933,2.059759006,1.099091248
34,v(0.50a),"[83, 872]","[131, 656, 657]",1.132447839,0.268234984,2.059925001,1.105087898
35,v(0.50a),"[83, 872]","[131, 656, 657]",1.133891106,0.270375836,2.060174916,1.114043031
36,v(0.50a),"[82, 83, 872]","[131, 656, 657]",1.134432316,0.271047921,2.060269729,1.116863655
37,v(0.50a),"[82, 83, 872]","[131, 656, 657]",1.135244131,0.272243896,2.060411972,1.121869164
38,v(0.50a),"[82, 83, 872]","[131, 656, 657]",1.136461973,0.27403021,2.060627472,1.129348357
39,v(0.50a),"[82, 83, 872]","[131, 132, 657]",1.138288498,0.276344662,2.060953668,1.139067091
40,v(0.50a),"[82, 872]","[131, 132, 657]",1.141028523,0.279993696,2.061450403,1.154386234
41,v(0.50a),"[82, 872]","[131, 132, 657]",1.142055988,0.281466074,2.061637208,1.160561863
42,v(0.50a),"[82, 872]","[131, 132, 657]",1.142441273,0.282016735,2.061707892,1.162872255
43,v(0.50a),"[82, 872]","[131, 132, 657]",1.142441273,0.282016735,2.061707892,1.162872255
