Cut Frame,Location,Nodes1,Nodes2,lambda_p,wbar,l,w
0,v(0.50a),"[108, 1094, 1095]","[605, 839, 840]",1,1.47E-06,0.162412971,4.77E-07
1,v(0.50a),"[108, 1094, 1095]","[605, 839, 840]",1.000159979,0.000534955,0.162400651,0.000173754
2,v(0.50a),"[108, 1094, 1095]","[605, 839, 840]",1.000319958,0.001048124,0.162391098,0.000340412
3,v(0.50a),"[108, 1094, 1095]","[605, 839, 840]",1.000560045,0.00180955,0.162377768,0.000587661
4,v(0.50a),"[108, 1094, 1095]","[605, 839, 840]",1.000920057,0.00294529,0.162358466,0.000956386
5,v(0.50a),"[108, 1094, 1095]","[605, 839, 840]",1.001459956,0.004639765,0.162329989,0.001506346
6,v(0.50a),"[108, 1094, 1095]","[605, 839, 840]",1.002269983,0.007154137,0.162288179,0.002322064
7,v(0.50a),"[108, 1094, 1095]","[605, 839, 840]",1.003484964,0.010903318,0.162225675,0.003537596
8,v(0.50a),"[108, 1094, 1095]","[605, 839, 840]",1.005307555,0.016470805,0.162134153,0.00534096
9,v(0.50a),"[108, 1094, 1095]","[605, 839, 840]",1.008041263,0.024715353,0.162006662,0.008008104
10,v(0.50a),"[108, 1094, 1095]","[605, 839, 840]",1.012141824,0.036844272,0.161828581,0.011924913
11,v(0.50a),"[108, 1094, 1095]","[605, 839, 840]",1.018292785,0.054519392,0.161592477,0.017619847
12,v(0.50a),"[108, 1094, 1095]","[605, 839, 840]",1.027519226,0.079926827,0.161297259,0.025783956
13,v(0.50a),"[108, 1094, 1095]","[605, 839, 840]",1.041358829,0.115741709,0.160979179,0.037264011
14,v(0.50a),"[108, 1094, 1095]","[605, 839, 840]",1.057358861,0.153993284,0.16077056,0.049515173
15,v(0.50a),"[107, 108, 1094]","[605, 840]",1.073358774,0.194766239,0.160705043,0.062599834
16,v(0.50a),"[107, 108, 1094]","[605, 840]",1.089358807,0.226836406,0.160754542,0.072929965
17,v(0.50a),"[107, 108, 1094]","[605, 606, 840]",1.105358839,0.250827164,0.160894509,0.080713427
18,v(0.50a),"[107, 108, 1094]","[605, 606, 840]",1.121358871,0.278668877,0.161096875,0.08978537
19,v(0.50a),"[107, 1094]","[605, 606, 840]",1.137358785,0.302560929,0.161344244,0.097632929
20,v(0.50a),"[107, 1094]","[605, 606, 840]",1.153358817,0.326458321,0.1616242,0.10552713
21,v(0.50a),"[107, 1094]","[605, 606, 840]",1.159999967,0.335916775,0.161747043,0.10866709
