Cut Frame,Location,Nodes1,Nodes2,lambda_p,wOverlHalf,l,w
0,v(0.50a),"[123, 1148]","[580, 837]",1,0,1.305626728,0
1,v(0.50a),"[123, 1148]","[580, 837]",1.000159979,0.000470304,1.30551573,0.001227979
2,v(0.50a),"[123, 1148]","[580, 837]",1.000319958,0.000950579,1.305417231,0.002481805
3,v(0.50a),"[123, 1148]","[580, 837]",1.000560045,0.001668235,1.30526933,0.004354991
4,v(0.50a),"[123, 1148]","[580, 837]",1.000920057,0.002741146,1.305048786,0.007154658
5,v(0.50a),"[123, 1148]","[580, 837]",1.001459956,0.004346344,1.30472255,0.011341547
6,v(0.50a),"[123, 1148]","[580, 837]",1.002269983,0.006744636,1.304240127,0.017593249
7,v(0.50a),"[123, 1148]","[580, 837]",1.003484964,0.010322937,1.303533131,0.026912582
8,v(0.50a),"[123, 1148]","[580, 837]",1.005307555,0.015649232,1.302503634,0.040766364
9,v(0.50a),"[123, 1148]","[580, 837]",1.008041263,0.02354551,1.301029754,0.061266819
10,v(0.50a),"[123, 1148]","[580, 837]",1.012141824,0.035182108,1.298976728,0.091401479
11,v(0.50a),"[123, 1148]","[580, 837]",1.018292785,0.052181099,1.296241292,0.135278591
12,v(0.50a),"[123, 1148]","[580, 837]",1.027519226,0.076691984,1.292875032,0.198306302
13,v(0.50a),"[123, 1148]","[580, 837]",1.041358829,0.111361866,1.289305649,0.287158967
14,v(0.50a),"[122, 123, 1147, 1148]","[580, 837]",1.057358861,0.148790548,1.286969165,0.382977696
15,v(0.50a),"[122, 1147]","[580, 837]",1.073358774,0.183712808,1.286091075,0.472542806
16,v(0.50a),"[122, 1147]","[580, 837]",1.089358807,0.215485547,1.286258351,0.554340168
17,v(0.50a),"[122, 1147]","[580, 838]",1.105358839,0.244532234,1.287138245,0.629493582
18,v(0.50a),"[122, 1146, 1147]","[581, 838]",1.121358871,0.271277634,1.288503118,0.699084154
19,v(0.50a),"[121, 1146]","[581, 838]",1.137358785,0.297634817,1.290217643,0.768027384
20,v(0.50a),"[121, 1146]","[581, 838]",1.153358817,0.321488233,1.292177127,0.830839483
21,v(0.50a),"[121, 1146]","[581, 838]",1.159999967,0.330922201,1.293024932,0.855781313
