Cut Frame,Location,Nodes1,Nodes2,lambda_p,wbar,l,w
0,v(0.50a),"[79, 868]","[134, 627]",1,0,1.004296456,0
1,v(0.50a),"[79, 868]","[134, 627]",1.000159979,0.000498811,1.004201639,0.001001813
2,v(0.50a),"[79, 868]","[134, 627]",1.000319958,0.001002334,1.004116931,0.002012921
3,v(0.50a),"[79, 868]","[134, 627]",1.000560045,0.00175132,1.003992889,0.003516625
4,v(0.50a),"[79, 868]","[134, 627]",1.000920057,0.002869188,1.003810238,0.005760241
5,v(0.50a),"[79, 868]","[134, 627]",1.001459956,0.004537803,1.003542691,0.009107759
6,v(0.50a),"[79, 868]","[134, 627]",1.002269983,0.007028413,1.003149515,0.014101098
7,v(0.50a),"[79, 868]","[134, 627]",1.003484964,0.010742018,1.002573558,0.021539326
8,v(0.50a),"[79, 868]","[134, 627]",1.005307555,0.01626309,1.001747403,0.032583017
9,v(0.50a),"[79, 868]","[134, 627]",1.008041263,0.024440367,1.000571926,0.048908689
10,v(0.50a),"[79, 868]","[134, 627]",1.012141824,0.036477645,0.998946663,0.072878443
11,v(0.50a),"[79, 868]","[134, 627]",1.018292785,0.054036279,0.996807328,0.107727519
12,v(0.50a),"[79, 868]","[134, 135, 627]",1.027519226,0.079075675,0.994250688,0.157242088
13,v(0.50a),"[79, 868]","[135, 627]",1.041358829,0.115440539,0.991672607,0.22895844
14,v(0.50a),"[79, 868]","[135, 627, 628]",1.057358861,0.154298579,0.990204856,0.305574404
15,v(0.50a),"[78, 868]","[135, 628]",1.073358774,0.188381047,0.989941179,0.372972311
16,v(0.50a),"[78, 867, 868]","[135, 628]",1.089358807,0.220309377,0.990530934,0.436446506
17,v(0.50a),"[78, 867]","[135, 628]",1.105358839,0.250757735,0.991706384,0.497356093
18,v(0.50a),"[78, 867]","[135, 136, 628]",1.121358871,0.278125873,0.993264614,0.552505175
19,v(0.50a),"[78, 867]","[136, 628, 629]",1.137358785,0.305148518,0.995111601,0.60731366
20,v(0.50a),"[78, 867]","[136, 628, 629]",1.141358852,0.311366434,0.995593928,0.619989063
21,v(0.50a),"[78, 867]","[136, 628, 629]",1.147358775,0.320487144,0.996345038,0.638631551
22,v(0.50a),"[78, 867]","[136, 629]",1.156358838,0.333348453,0.997507797,0.665035362
23,v(0.50a),"[78, 867]","[136, 629]",1.159999967,0.338555193,0.997984957,0.67574598
