Cut Frame,Location,Nodes1,Nodes2,lambda_p,wbar,l,w
0,w(l(half)),"[67, 643]","[302, 460]",1,0.010801535,1.144974247,0.024734959
1,w(l(half)),"[67, 643]","[302, 460]",1.000159979,0.010811316,1.144889298,0.02475552
2,w(l(half)),"[67, 643]","[302, 460]",1.000319958,0.010831313,1.144825446,0.024799926
3,w(l(half)),"[67, 643]","[302, 460]",1.000560045,0.010891861,1.144733536,0.024936558
4,w(l(half)),"[67, 643]","[302, 460]",1.000920057,0.011053354,1.14459236,0.02530317
5,w(l(half)),"[67, 643]","[302, 460]",1.001459956,0.011439013,1.144388572,0.026181351
6,w(l(half)),"[67, 643]","[302, 460]",1.002269983,0.012308042,1.144083827,0.028162864
7,w(l(half)),"[67, 643]","[302, 460]",1.003484964,0.014119239,1.143633839,0.032294479
8,w(l(half)),"[67, 643]","[302, 460]",1.005307555,0.017563987,1.142976137,0.040150437
9,w(l(half)),"[67, 643]","[302, 460]",1.008041263,0.0235381,1.142039243,0.053762868
10,w(l(half)),"[67, 643]","[302, 460]",1.012141824,0.033151273,1.140733732,0.07563355
11,w(l(half)),"[67, 642, 643]","[302, 460]",1.018292785,0.046592957,1.138983272,0.106137198
12,w(l(half)),"[67, 642, 643]","[302, 460]",1.027519226,0.068604699,1.136804585,0.155980273
13,w(l(half)),"[66, 67, 642]","[302, 460]",1.041358829,0.100551317,1.134459264,0.228142747
14,w(l(half)),"[66, 642]","[302, 460]",1.057358861,0.134320955,1.132903054,0.304345241
15,w(l(half)),"[66, 642]","[302, 460]",1.073358774,0.165784402,1.132319761,0.37544191
16,w(l(half)),"[66, 642]","[302, 460]",1.089358807,0.195091097,1.132461254,0.441866217
17,w(l(half)),"[66, 642]","[302, 460]",1.105358839,0.222422147,1.133119973,0.504061955
18,w(l(half)),"[65, 66, 641, 642]","[302, 460]",1.121358871,0.248290002,1.134146836,0.563194641
19,w(l(half)),"[65, 641]","[302, 460]",1.137358785,0.272706904,1.135447391,0.619288685
20,w(l(half)),"[65, 641]","[302, 460]",1.141358852,0.278397782,1.135794486,0.632405331
21,w(l(half)),"[65, 641]","[302, 460]",1.147358775,0.286755348,1.136346237,0.651706721
22,w(l(half)),"[65, 641]","[302, 460]",1.14960885,0.289837606,1.136556971,0.658833904
23,w(l(half)),"[65, 641]","[302, 460]",1.152983785,0.294406344,1.136882052,0.669410577
24,w(l(half)),"[65, 641]","[302, 460]",1.15424943,0.296103446,1.137004645,0.673341988
25,w(l(half)),"[65, 641]","[302, 460]",1.156147838,0.298631876,1.137190801,0.679202845
26,w(l(half)),"[65, 641]","[302, 460]",1.158995509,0.302389754,1.137474519,0.68792128
27,w(l(half)),"[65, 641]","[302, 460]",1.159999967,0.303704267,1.137576135,0.690973452
