Cut Frame,Location,Nodes1,Nodes2,lambda_p,wbar,l,w
0,w(l(half)),"[55, 525]","[93, 381, 382]",1,0.012385726,0.658529389,0.016312729
1,w(l(half)),"[55, 525]","[93, 381, 382]",1.000159979,0.012415453,0.658463735,0.016350251
2,w(l(half)),"[55, 525]","[93, 381, 382]",1.000319958,0.012461792,0.658416314,0.016410095
3,w(l(half)),"[55, 525]","[93, 381, 382]",1.000560045,0.012568586,0.658348373,0.016549016
4,w(l(half)),"[55, 525]","[93, 381, 382]",1.000920057,0.012800397,0.658248497,0.016851684
5,w(l(half)),"[55, 525]","[93, 381, 382]",1.001459956,0.01330303,0.658098088,0.017509397
6,w(l(half)),"[55, 525]","[93, 381, 382]",1.002269983,0.014360616,0.657882527,0.018895196
7,w(l(half)),"[55, 525]","[93, 381, 382]",1.003484964,0.016474762,0.657563832,0.021666416
8,w(l(half)),"[55, 525]","[93, 381, 382]",1.005307555,0.020390466,0.657106379,0.026797411
9,w(l(half)),"[55, 525]","[93, 381, 382]",1.008041263,0.027094119,0.656453324,0.035572049
10,w(l(half)),"[55, 525]","[93, 382]",1.012141824,0.035269331,0.65554778,0.046241463
11,w(l(half)),"[55, 525]","[93, 382]",1.018292785,0.052227781,0.654353072,0.068350818
12,w(l(half)),"[55, 525]","[93, 382]",1.027519226,0.076680135,0.652890787,0.100127507
13,w(l(half)),"[55, 525]","[93, 382]",1.041358829,0.111237332,0.651368673,0.144913027
14,w(l(half)),"[55, 525]","[93, 382]",1.057358861,0.148258752,0.65044831,0.19286931
15,w(l(half)),"[55, 525]","[93, 382]",1.073358774,0.182441389,0.650249093,0.237264696
16,w(l(half)),"[55, 525]","[93, 382]",1.089358807,0.214063509,0.65060269,0.27854059
17,w(l(half)),"[55, 525]","[93, 382]",1.105358839,0.243374115,0.651364792,0.31705066
18,w(l(half)),"[55, 525]","[93, 94, 382]",1.121358871,0.269878028,0.652423797,0.352149695
19,w(l(half)),"[55, 525]","[93, 94, 382, 383]",1.137358785,0.29586738,0.653694171,0.386813563
20,w(l(half)),"[55, 525]","[94, 383]",1.153358817,0.320155424,0.655102765,0.419469407
21,w(l(half)),"[55, 525]","[94, 383]",1.159999967,0.329435362,0.655706632,0.432025904
